,Province_State,Population,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,Incidence_Rate,Admin2,Combined_Key,Risk,FIPS,DOD_Rank,State_Code
11,Hawaii,1415872.0,12.0,11.0,9.0,12.0,13.0,14.0,14.0,14.0,14.0,12.0,11.0,21.0,28.0,30.0,31.0,37.0,41.0,45.0,57.0,70.0,74.0,82.0,81.0,89.0,106.0,124.0,116.0,139.0,140.0,137.0,148.0,157.0,156.0,144.0,166.0,159.0,175.0,176.0,178.0,178.0,202.0,201.0,206.0,244.0,253.0,273.0,287.0,324.0,317.0,335.0,340.0,359.0,355.0,352.0,344.0,347.0,355.0,339.0,332.0,350.0,381.0,410.0,28.957419879763144,All,"All, Hawaii",LOW,NaN,green,HI
12,Idaho,1787065.0,357.0,323.0,393.0,408.0,408.0,375.0,411.0,376.0,469.0,421.0,478.0,512.0,540.0,509.0,559.0,589.0,558.0,488.0,579.0,545.0,555.0,555.0,524.0,694.0,747.0,754.0,859.0,859.0,1059.0,1029.0,1137.0,1599.0,1508.0,1964.0,1918.0,2349.0,2650.0,2733.0,2846.0,3117.0,3361.0,3724.0,3792.0,4279.0,4558.0,4554.0,5053.0,5173.0,5570.0,5640.0,5592.0,6061.0,6520.0,6736.0,6908.0,7116.0,7189.0,7253.0,7317.0,7271.0,7294.0,6718.0,375.9236513501188,All,"All, Idaho",LOW,NaN,green,ID
13,Illinois,12671821.0,31465.0,28705.0,28139.0,26459.0,25765.0,25195.0,24806.0,23523.0,23569.0,22253.0,20917.0,19403.0,18053.0,16459.0,15452.0,15029.0,14668.0,13939.0,12845.0,12029.0,11400.0,10920.0,10022.0,9621.0,9376.0,8922.0,8591.0,8404.0,8189.0,8066.0,8149.0,8332.0,8633.0,8764.0,8746.0,8989.0,9137.0,9413.0,8822.0,9862.0,10127.0,10121.0,10287.0,10269.0,10562.0,10700.0,11166.0,11575.0,11870.0,12036.0,12030.0,12415.0,13667.0,13341.0,13745.0,14082.0,14636.0,15006.0,15644.0,16249.0,16463.0,16699.0,131.7805862314501,All,"All, Illinois",LOW,NaN,green,IL
14,Indiana,6732219.0,6669.0,6547.0,6577.0,6616.0,6506.0,6571.0,6436.0,6220.0,6188.0,6124.0,5880.0,5890.0,5810.0,5736.0,5613.0,5651.0,5606.0,5391.0,5320.0,5059.0,5062.0,5325.0,5306.0,5044.0,5090.0,4919.0,4828.0,4797.0,4782.0,4619.0,4592.0,4713.0,4807.0,4839.0,4834.0,4617.0,4625.0,4774.0,4786.0,5012.0,5227.0,5435.0,5556.0,5608.0,5770.0,5768.0,6008.0,6365.0,6542.0,6672.0,6957.0,7282.0,7560.0,7776.0,8089.0,8434.0,8748.0,9162.0,9483.0,9890.0,10166.0,10306.0,153.08474070733587,All,"All, Indiana",LOW,NaN,green,IN
15,Iowa,3155070.0,4998.0,4607.0,4887.0,4732.0,4729.0,4740.0,4724.0,4552.0,4531.0,4507.0,4479.0,4499.0,4420.0,4311.0,4291.0,4385.0,4128.0,4248.0,4270.0,4355.0,4253.0,4277.0,4058.0,4056.0,3955.0,4029.0,3940.0,4169.0,4066.0,4168.0,3917.0,4345.0,4307.0,4303.0,4539.0,4710.0,4846.0,5013.0,5359.0,5151.0,5514.0,5508.0,5566.0,5630.0,5962.0,5823.0,6397.0,6510.0,6815.0,6713.0,6723.0,6927.0,6993.0,7349.0,7171.0,7211.0,7507.0,7494.0,7513.0,7484.0,7203.0,7177.0,227.4751431822432,All,"All, Iowa",LOW,NaN,green,IA
16,Kansas,2913314.0,1941.0,1935.0,1748.0,1641.0,1755.0,1732.0,1728.0,1602.0,1591.0,1565.0,1523.0,1374.0,1391.0,1380.0,1396.0,1389.0,1436.0,1427.0,1287.0,1304.0,1375.0,1380.0,1432.0,1539.0,1570.0,1700.0,1719.0,1712.0,1867.0,1910.0,2163.0,2268.0,2468.0,2575.0,2723.0,2864.0,2933.0,3157.0,3221.0,3610.0,3788.0,3919.0,4183.0,4294.0,4373.0,4647.0,4815.0,5045.0,5108.0,5413.0,5493.0,5496.0,5794.0,5705.0,5757.0,5890.0,5993.0,6044.0,6119.0,6144.0,6216.0,6290.0,215.90532294150236,All,"All, Kansas",LOW,NaN,green,KS
17,Kentucky,4467673.0,1820.0,2029.0,2149.0,1887.0,1946.0,1950.0,1950.0,2048.0,2068.0,2195.0,2368.0,2497.0,2661.0,2661.0,2848.0,2699.0,2749.0,2702.0,2647.0,2680.0,2680.0,2548.0,2403.0,2515.0,2427.0,2415.0,2281.0,2399.0,2301.0,2371.0,2420.0,2615.0,2646.0,2678.0,2739.0,2656.0,2928.0,2807.0,2837.0,2878.0,2706.0,2588.0,3270.0,3329.0,3499.0,3571.0,3742.0,3885.0,4083.0,4228.0,4520.0,4763.0,4938.0,5160.0,5724.0,6698.0,6181.0,6465.0,6553.0,6830.0,7189.0,7569.0,169.41705447108595,All,"All, Kentucky",LOW,NaN,green,KY
18,Louisiana,4648794.0,5635.0,5674.0,5512.0,5009.0,4666.0,5180.0,5211.0,5370.0,5429.0,5530.0,4786.0,4814.0,5256.0,5518.0,5123.0,5199.0,5166.0,5302.0,5816.0,6287.0,6279.0,6380.0,6446.0,6937.0,6524.0,6448.0,6835.0,6916.0,7140.0,8010.0,8475.0,8970.0,9809.0,8598.0,9720.0,10050.0,10605.0,11845.0,13197.0,14572.0,13727.0,15261.0,15904.0,16448.0,17490.0,18393.0,19681.0,21823.0,21671.0,22526.0,23725.0,23733.0,24624.0,25075.0,25075.0,26230.0,28291.0,28060.0,28867.0,29320.0,28759.0,26617.0,572.5570976042388,All,"All, Louisiana",MEDIUM,NaN,green,LA
19,Maine,1344212.0,605.0,624.0,610.0,606.0,607.0,615.0,625.0,618.0,617.0,577.0,548.0,512.0,492.0,495.0,493.0,476.0,484.0,467.0,484.0,472.0,461.0,450.0,435.0,416.0,427.0,430.0,408.0,385.0,380.0,388.0,377.0,400.0,376.0,392.0,391.0,402.0,431.0,454.0,443.0,453.0,453.0,449.0,445.0,433.0,436.0,407.0,392.0,355.0,333.0,332.0,304.0,274.0,263.0,255.0,237.0,241.0,258.0,257.0,253.0,248.0,256.0,272.0,20.23490342297197,All,"All, Maine",LOW,NaN,green,ME
20,Maryland,6045680.0,13111.0,12998.0,13003.0,13218.0,13411.0,13461.0,13403.0,12996.0,12080.0,12120.0,11793.0,11827.0,11468.0,11151.0,10765.0,10721.0,10566.0,10020.0,9176.0,8857.0,8498.0,8292.0,7839.0,7610.0,7009.0,6434.0,6151.0,6016.0,5879.0,5807.0,5591.0,5309.0,5246.0,4898.0,4841.0,4990.0,4926.0,4734.0,4998.0,5218.0,5199.0,5147.0,5125.0,5217.0,5352.0,5503.0,5628.0,5859.0,6171.0,6115.0,6547.0,6950.0,7093.0,7271.0,7722.0,8355.0,8639.0,9002.0,9174.0,9256.0,9732.0,10461.0,173.03264479760753,All,"All, Maryland",LOW,NaN,green,MD
21,Massachusetts,6892503.0,13472.0,13001.0,12443.0,11537.0,10961.0,10279.0,9927.0,12548.0,12053.0,11516.0,10911.0,10631.0,10496.0,9821.0,9408.0,9248.0,9030.0,8922.0,8706.0,8303.0,7836.0,4351.0,4148.0,3972.0,3790.0,3547.0,3265.0,3072.0,3070.0,3074.0,2972.0,2712.0,2541.0,2590.0,2638.0,2641.0,2618.0,2420.0,2563.0,2619.0,2550.0,2583.0,2596.0,2557.0,2662.0,2724.0,2730.0,2657.0,2635.0,2797.0,2933.0,3118.0,2949.0,2959.0,3106.0,3273.0,3374.0,3418.0,3456.0,3493.0,3622.0,3633.0,52.70944386966534,All,"All, Massachusetts",LOW,NaN,green,MA
22,Michigan,9986857.0,5468.0,5330.0,5191.0,4453.0,4480.0,4200.0,4291.0,4139.0,3945.0,3718.0,3549.0,8367.0,8394.0,8510.0,8590.0,8413.0,8406.0,8307.0,8116.0,8145.0,7914.0,7914.0,7953.0,7892.0,7988.0,3208.0,3201.0,2961.0,2938.0,3037.0,3182.0,3389.0,3501.0,3679.0,3708.0,3870.0,4174.0,4374.0,4698.0,4881.0,4856.0,5037.0,5105.0,5459.0,5760.0,5941.0,6222.0,6500.0,6693.0,6822.0,7023.0,7666.0,7978.0,8271.0,8592.0,8754.0,8960.0,9037.0,9103.0,9220.0,9240.0,9141.0,91.5302982710176,All,"All, Michigan",LOW,NaN,green,MI
23,Minnesota,5639632.0,9232.0,9199.0,9213.0,9135.0,8936.0,8837.0,8804.0,8457.0,8107.0,7849.0,7726.0,7593.0,7258.0,6928.0,6529.0,6174.0,6082.0,6102.0,5993.0,5758.0,5402.0,5269.0,5165.0,5204.0,5191.0,4878.0,4793.0,4846.0,4825.0,4783.0,4737.0,4656.0,4670.0,4704.0,4927.0,5015.0,5269.0,5280.0,5400.0,5470.0,5056.0,5131.0,5255.0,5572.0,5731.0,5951.0,6062.0,6450.0,6649.0,6836.0,6789.0,6940.0,7060.0,7313.0,7761.0,7982.0,7786.0,8227.0,8270.0,8441.0,8594.0,8570.0,151.96026974809703,All,"All, Minnesota",LOW,NaN,green,MN
24,Mississippi,2976149.0,3584.0,3628.0,3749.0,3676.0,3775.0,3893.0,4014.0,4108.0,4124.0,4143.0,4124.0,3936.0,3839.0,3818.0,4108.0,4197.0,4241.0,3936.0,4129.0,3959.0,3842.0,3891.0,3963.0,4163.0,3937.0,3737.0,3475.0,3250.0,4420.0,4633.0,4798.0,5885.0,5834.0,6037.0,6228.0,6604.0,6937.0,7119.0,7977.0,8880.0,9864.0,10086.0,8792.0,9147.0,9287.0,8887.0,9363.0,9693.0,10185.0,9922.0,10096.0,10459.0,10811.0,10916.0,10933.0,11494.0,12388.0,13079.0,13948.0,14230.0,14715.0,15314.0,514.5575708743077,All,"All, Mississippi",MEDIUM,NaN,green,MS
25,Missouri,6137428.0,1894.0,1883.0,2005.0,1993.0,1912.0,1885.0,1876.0,2005.0,2060.0,2072.0,2116.0,2110.0,2345.0,2245.0,2035.0,2101.0,2003.0,2017.0,2254.0,2340.0,2267.0,2322.0,2387.0,2417.0,2495.0,2640.0,2647.0,2995.0,3027.0,3209.0,3173.0,3388.0,3576.0,3672.0,3759.0,3595.0,3553.0,3418.0,4501.0,4677.0,4718.0,4499.0,4734.0,5021.0,5569.0,5891.0,5938.0,6106.0,6235.0,6451.0,7162.0,7874.0,7298.0,7653.0,8119.0,8608.0,8751.0,9096.0,9597.0,10138.0,10950.0,11702.0,190.66618785589012,All,"All, Missouri",LOW,NaN,green,MO
26,Montana,1068778.0,20.0,17.0,18.0,22.0,26.0,36.0,46.0,48.0,51.0,46.0,59.0,60.0,59.0,64.0,67.0,74.0,79.0,77.0,81.0,82.0,84.0,88.0,89.0,102.0,113.0,123.0,156.0,170.0,183.0,186.0,200.0,237.0,252.0,260.0,259.0,307.0,350.0,384.0,426.0,459.0,466.0,492.0,513.0,582.0,607.0,663.0,758.0,818.0,888.0,914.0,973.0,1068.0,1135.0,1224.0,1290.0,1307.0,1355.0,1367.0,1422.0,1425.0,1427.0,1567.0,146.61604187211938,All,"All, Montana",LOW,NaN,green,MT
27,Nebraska,1934408.0,3703.0,3836.0,3818.0,3735.0,3768.0,3572.0,3644.0,3606.0,3650.0,3725.0,3643.0,3649.0,3514.0,3455.0,3348.0,3224.0,2998.0,3009.0,2830.0,2699.0,2595.0,2469.0,2374.0,2295.0,2248.0,2169.0,2111.0,2124.0,2149.0,2147.0,2132.0,1996.0,1961.0,2089.0,2124.0,2143.0,2098.0,2037.0,2005.0,2048.0,2101.0,2096.0,2072.0,2141.0,2245.0,2302.0,2287.0,2265.0,2314.0,2398.0,2586.0,2713.0,2715.0,2733.0,2693.0,2690.0,2824.0,2970.0,3033.0,3160.0,3354.0,3351.0,173.23129350168114,All,"All, Nebraska",LOW,NaN,green,NE
28,Nevada,3080156.0,1724.0,1694.0,1602.0,1664.0,1580.0,1634.0,1613.0,1579.0,1699.0,1507.0,1678.0,1730.0,1911.0,1732.0,1814.0,1938.0,2017.0,2174.0,2275.0,2435.0,2527.0,2565.0,2775.0,2859.0,2995.0,3172.0,3436.0,3522.0,3665.0,3440.0,3270.0,4350.0,4499.0,5304.0,5922.0,6540.0,6733.0,7209.0,7514.0,8145.0,8555.0,9131.0,9333.0,10198.0,10709.0,9969.0,10587.0,10407.0,10430.0,10532.0,11058.0,11260.0,12081.0,12468.0,12786.0,13234.0,13693.0,13615.0,14205.0,14877.0,14834.0,14838.0,481.7288474999318,All,"All, Nevada",MEDIUM,NaN,green,NV
