,Province_State,Population,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,Incidence_Rate,Admin2,Combined_Key,Risk,FIPS,DOD_Rank,State_Code
39,Rhode Island,1059361.0,2255.0,2131.0,2068.0,2172.0,2282.0,2282.0,2282.0,2282.0,2282.0,1271.0,1053.0,863.0,623.0,524.0,1530.0,1530.0,1220.0,1116.0,1006.0,1006.0,1006.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,705.0,705.0,705.0,705.0,979.0,979.0,979.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0,274.0,274.0,973.0,973.0,699.0,699.0,699.0,699.0,699.0,1110.0,1110.0,1110.0,1110.0,104.7801457671181,All,"All, Rhode Island",LOW,NaN,green,RI
40,South Carolina,5148714.0,2292.0,2398.0,2489.0,2500.0,2621.0,2626.0,2936.0,3097.0,3257.0,3146.0,2949.0,3695.0,3444.0,4079.0,4505.0,4690.0,5027.0,5535.0,5929.0,6449.0,6828.0,7128.0,7469.0,8020.0,8998.0,9055.0,10198.0,10268.0,10764.0,11239.0,12030.0,12476.0,13064.0,13872.0,14409.0,15148.0,16277.0,17219.0,18005.0,18770.0,19461.0,20019.0,20546.0,20607.0,20811.0,21457.0,21849.0,22520.0,23083.0,23272.0,23736.0,24094.0,24096.0,24225.0,23904.0,24804.0,24728.0,25610.0,25732.0,25486.0,25732.0,24795.0,481.5765645557318,All,"All, South Carolina",MEDIUM,NaN,green,SC
41,South Dakota,884659.0,956.0,973.0,957.0,990.0,964.0,983.0,988.0,989.0,966.0,969.0,1054.0,907.0,888.0,860.0,870.0,853.0,880.0,853.0,861.0,860.0,892.0,881.0,884.0,872.0,850.0,868.0,844.0,849.0,845.0,821.0,806.0,806.0,785.0,781.0,773.0,778.0,792.0,767.0,773.0,806.0,789.0,752.0,765.0,797.0,813.0,843.0,847.0,812.0,802.0,792.0,790.0,808.0,783.0,792.0,815.0,822.0,817.0,836.0,814.0,787.0,784.0,838.0,94.72576439057309,All,"All, South Dakota",LOW,NaN,green,SD
42,Tennessee,6829174.0,4921.0,4912.0,4867.0,4806.0,4925.0,5063.0,4970.0,4451.0,5738.0,6222.0,5960.0,6006.0,6131.0,6129.0,6218.0,6380.0,6355.0,6420.0,6792.0,6773.0,7565.0,8218.0,7424.0,7438.0,7740.0,8359.0,8328.0,8548.0,8488.0,8565.0,9043.0,9322.0,9768.0,10132.0,9342.0,10522.0,10955.0,12243.0,13100.0,13701.0,14519.0,15131.0,15389.0,16054.0,17438.0,18201.0,18700.0,19403.0,20342.0,21384.0,21654.0,22214.0,23091.0,23539.0,24647.0,25083.0,25834.0,26491.0,25316.0,26211.0,26516.0,26792.0,392.3168453461575,All,"All, Tennessee",LOW,NaN,green,TN
43,Texas,28995881.0,15444.0,15404.0,15117.0,15541.0,14845.0,14891.0,15926.0,16085.0,16434.0,16890.0,17188.0,18669.0,19341.0,19236.0,19741.0,20799.0,22077.0,22086.0,23785.0,24087.0,23682.0,24416.0,25942.0,28535.0,30415.0,32576.0,34775.0,37202.0,40984.0,44431.0,47066.0,51585.0,54926.0,58630.0,61285.0,66158.0,69129.0,74261.0,77473.0,79763.0,82228.0,81631.0,87462.0,92554.0,96194.0,101296.0,103879.0,107777.0,111802.0,112218.0,115626.0,116512.0,125664.0,130973.0,133627.0,138965.0,136758.0,133672.0,137146.0,134882.0,133880.0,134019.0,462.20013111517454,All,"All, Texas",LOW,NaN,green,TX
44,Utah,3205958.0,1870.0,1893.0,1798.0,1857.0,1974.0,2028.0,2089.0,2129.0,2162.0,2223.0,2335.0,2390.0,2484.0,2566.0,2648.0,2742.0,2900.0,3011.0,2974.0,3078.0,3115.0,3187.0,3271.0,3342.0,3493.0,3695.0,3914.0,4028.0,4181.0,4289.0,4446.0,4617.0,4929.0,5086.0,5187.0,5388.0,5584.0,5683.0,5738.0,5790.0,5809.0,5827.0,5874.0,6010.0,6186.0,6232.0,6382.0,6437.0,6547.0,6593.0,6515.0,6474.0,6659.0,6684.0,6749.0,7044.0,6971.0,6937.0,6831.0,6719.0,6679.0,6693.0,208.76755091613805,All,"All, Utah",LOW,NaN,green,UT
45,Vermont,623989.0,34.0,38.0,39.0,39.0,39.0,40.0,40.0,42.0,44.0,47.0,75.0,74.0,91.0,106.0,112.0,116.0,124.0,136.0,144.0,148.0,145.0,145.0,143.0,140.0,108.0,116.0,100.0,95.0,87.0,81.0,90.0,80.0,78.0,74.0,74.0,78.0,75.0,78.0,92.0,92.0,91.0,90.0,88.0,90.0,72.0,81.0,79.0,83.0,95.0,94.0,98.0,109.0,98.0,98.0,99.0,97.0,104.0,110.0,108.0,105.0,108.0,113.0,18.10929359331655,All,"All, Vermont",LOW,NaN,green,VT
46,Virginia,8535519.0,12317.0,13214.0,13158.0,13214.0,13485.0,13565.0,13858.0,13885.0,13735.0,13646.0,13378.0,13264.0,13348.0,14134.0,13255.0,12138.0,11697.0,11068.0,10506.0,10093.0,9732.0,9332.0,8935.0,8721.0,8245.0,8117.0,7908.0,7190.0,7083.0,7113.0,7192.0,7146.0,7199.0,7201.0,7048.0,7121.0,7273.0,7241.0,7279.0,7367.0,7470.0,7554.0,7446.0,7550.0,7627.0,7788.0,8113.0,8303.0,8706.0,9229.0,9446.0,10118.0,10505.0,10872.0,11088.0,11508.0,12095.0,12464.0,12872.0,13132.0,13324.0,13714.0,160.669784696162,All,"All, Virginia",LOW,NaN,green,VA
47,Washington,7614893.0,2796.0,2744.0,2797.0,2925.0,3067.0,2993.0,3185.0,3224.0,3273.0,3435.0,3547.0,3669.0,4108.0,3845.0,3918.0,4098.0,3893.0,3962.0,4031.0,4122.0,4053.0,4068.0,4252.0,4214.0,4346.0,4496.0,4634.0,4840.0,4707.0,4913.0,5380.0,5453.0,5569.0,5749.0,5822.0,5977.0,6161.0,6392.0,6821.0,6988.0,6910.0,7019.0,7872.0,7854.0,7877.0,8009.0,8173.0,7634.0,8691.0,9364.0,9344.0,9574.0,9965.0,10240.0,10691.0,10985.0,10746.0,11012.0,11224.0,11333.0,11512.0,12517.0,164.37525780073338,All,"All, Washington",LOW,NaN,green,WA
48,West Virginia,1792147.0,398.0,388.0,491.0,501.0,502.0,510.0,512.0,520.0,548.0,503.0,502.0,451.0,468.0,387.0,391.0,399.0,294.0,277.0,286.0,280.0,277.0,289.0,280.0,297.0,313.0,347.0,364.0,388.0,387.0,414.0,428.0,471.0,477.0,505.0,539.0,546.0,557.0,600.0,632.0,655.0,705.0,730.0,889.0,913.0,1075.0,1129.0,1250.0,1361.0,1409.0,1439.0,1503.0,1573.0,1598.0,1650.0,1683.0,1722.0,1637.0,1661.0,1499.0,1619.0,1662.0,1622.0,90.50596853941111,All,"All, West Virginia",LOW,NaN,green,WV
49,Wisconsin,5822434.0,5063.0,5155.0,5444.0,5585.0,5901.0,5910.0,5723.0,5724.0,5894.0,5854.0,5868.0,5716.0,5556.0,5421.0,5322.0,5301.0,4999.0,4820.0,4418.0,4185.0,4255.0,4290.0,4185.0,3959.0,3895.0,3808.0,3869.0,3887.0,3933.0,3934.0,4084.0,4217.0,4424.0,4682.0,4900.0,5043.0,5380.0,5670.0,5788.0,6097.0,6464.0,6706.0,6942.0,7172.0,7343.0,7640.0,7960.0,8351.0,8664.0,8843.0,9207.0,9487.0,9851.0,10155.0,10385.0,10692.0,10909.0,11525.0,11635.0,11922.0,12100.0,12121.0,208.17754224436035,All,"All, Wisconsin",LOW,NaN,green,WI
50,Wyoming,578759.0,174.0,175.0,172.0,175.0,175.0,157.0,149.0,144.0,136.0,128.0,120.0,130.0,126.0,109.0,117.0,120.0,120.0,133.0,136.0,152.0,157.0,169.0,177.0,199.0,223.0,240.0,240.0,250.0,270.0,284.0,302.0,317.0,341.0,342.0,361.0,371.0,398.0,400.0,406.0,409.0,427.0,437.0,445.0,455.0,458.0,443.0,422.0,447.0,445.0,453.0,463.0,471.0,476.0,487.0,502.0,492.0,512.0,529.0,548.0,578.0,615.0,606.0,104.70679505631878,All,"All, Wyoming",LOW,NaN,green,WY
